Angle_deg,X_position,Y_position,X_modulated,Y_modulated,Modulated_radius,Cost,Cost_squared,Sigma_alpha_um_per_N,Sigma_beta_um_per_N,Sigma_alphabeta_um_per_N
299.6,0.6495204638655769,-0.08687763612425287,0.07175940858695384,-0.12589316216083724,0.14490859532686198,1315.4431177672548,36.26903800443644,3.6898854532538516,9.11982996945907,0.6301019238338781
299.7,0.6496720605334921,-0.08679105024342713,0.0719565755600421,-0.12572836112900254,0.14486327884772224,1312.7896758665993,36.23243955168627,3.687252255939144,9.12345286841055,0.63025884975505
299.8,0.6498235058076006,-0.08670419983507137,0.07215330124349319,-0.12556310818299704,0.14481779247353999,1310.1289799810668,36.19570388845984,3.6846205451989706,9.127072984730425,0.6304112661608529
299.90000000000003,0.6499747992263174,-0.086617085163894,0.07234958471105885,-0.1253974050423001,0.14477213681922826,1307.461096267833,36.15883151137261,3.6819903312064546,9.130690305792571,0.6305591696105259
300.0,0.6501259403285203,-0.08652970649540895,0.07254542504486765,-0.12523125343038094,0.14472631250289217,1304.786091036246,36.12182291961808,3.679361624146375,9.13430481896596,0.6307025567039857
300.1,0.6502769286535517,-0.08644206409593463,0.0727408213354426,-0.12506465507465053,0.14468032014581697,1302.104030744813,36.08467861495808,3.6767344342150965,9.137916511614725,0.6308414240818513
300.2,0.650427763741219,-0.08635415823259351,0.07293577268171787,-0.12489761170641363,0.1446341603724559,1299.4149819981742,36.047399101712934,3.674108771620481,9.141525371098247,0.6309757684254726
300.3,0.6505784451317971,-0.08626598917331085,0.07313027819105644,-0.12473012506082008,0.14458783381041823,1296.7190115440958,36.00998488675184,3.671484646581837,9.145131384771258,0.631105586456958
300.40000000000003,0.6507289723660293,-0.08617755718681418,0.0733243369792662,-0.12456219687681667,0.14454134109045697,1294.016186270439,35.972436479482994,3.668862069329798,9.148734539983899,0.6312308749392012
300.5,0.6508793449851288,-0.08608886254263237,0.07351794817061647,-0.12439382889709875,0.14449468284645678,1291.3065732021332,35.93475439184375,3.6662410501062657,9.152334824081839,0.6313516306759115
300.6,0.6510295625307797,-0.08599990551109486,0.0737111108978542,-0.12422502286806172,0.14444785971542196,1288.5902394981576,35.896939138290854,3.6636215991643404,9.155932224406351,0.6314678505116352
300.7,0.6511796245451391,-0.0859106863633308,0.07390382430221962,-0.12405578053975216,0.14440087233746374,1285.8672524484941,35.85899123579042,3.661003726768213,9.159526728294415,0.631579531331793
300.8,0.6513295305708381,-0.08582120537126824,0.07409608753346178,-0.12388610366581937,0.1443537213557883,1283.1376794710973,35.820911203807995,3.6583874431931096,9.163118323078775,0.6316866700626923
300.90000000000003,0.651479280150983,-0.08573146280763329,0.07428789974985385,-0.1237159940034665,0.14430640741668435,1280.4015881088596,35.78269956429866,3.655772758725202,9.16670699608807,0.6317892636715642
301.0,0.6516288728291573,-0.08564145894594925,0.07447926011820802,-0.12354545331340146,0.14425893116951044,1277.6590460265545,35.74435684169677,3.6531596836615035,9.170292734646884,0.6318873091665838
301.1,0.6517783081494222,-0.08555119406053596,0.07467016781389002,-0.12337448335978861,0.14421129326668303,1274.9101210078215,35.70588356290629,3.65054822830984,9.173875526075873,0.6319808035968972
301.2,0.6519275856563189,-0.0854606684265087,0.07486062202083388,-0.12320308591019902,0.1441634943636635,1272.1548809520937,35.667280257290344,3.6479384029887107,9.177455357691843,0.6320697440526502
301.3,0.6520767048948696,-0.0853698823197775,0.07505062193155557,-0.12303126273556156,0.1441155351189457,1269.3933938715527,35.62854745666111,3.645330218027242,9.181032216807798,0.6321541276650043
301.40000000000003,0.6522256654105788,-0.08527883601704632,0.07524016674716726,-0.12285901561011416,0.1440674161940437,1266.625727888105,35.589685695269985,3.6427236837650896,9.184606090733135,0.6322339516061725
301.5,0.6523744667494346,-0.08518752979581208,0.0754292556773903,-0.12268634631135376,0.14401913825347848,1263.8519512302846,35.550695509796775,3.6401188105523743,9.188176966773591,0.6323092130894308
301.6,0.6525231084579104,-0.085095963934364,0.07561788794056902,-0.12251325661998792,0.14397070196476597,1261.0721322302475,35.51157743934008,3.637515608749564,9.191744832231475,0.6323799093691549
301.7,0.6526715900829663,-0.08500413871178256,0.07580606276368333,-0.12233974831988477,0.14392210799840394,1258.2863393206896,35.472332025406644,3.6349140887274456,9.195309674405678,0.6324460377408341
301.8,0.65281991117205,-0.08491205440793874,0.07599377938236146,-0.12216582319802355,0.14387335702785897,1255.4946410317912,35.432959811901,3.63231426086697,9.198871480591771,0.6325075955411004
301.90000000000003,0.6529680712730985,-0.0848197113034933,0.07618103704089207,-0.12199148304444564,0.1438244497295541,1252.697105988165,35.39346134511522,3.6297161355592245,9.202430238082103,0.6325645801477492
302.0,0.65311606993454,-0.08472710967989563,0.07636783499223702,-0.12181672965220448,0.1437753867828559,1249.8938029058174,35.353837173718745,3.6271197232053463,9.205985934165943,0.6326169889797586
302.1,0.6532639067052939,-0.08463424981938311,0.07655417249804249,-0.121641564817316,0.14372616887006115,1247.0848005890523,35.31408784874745,3.624525034216394,9.209538556129479,0.6326648194973203
